Education Type,Industry,Age,CoW,Education,Marital,Occupation,PoB,Hours,Sex,Race,State,Income,Log Income,Rank,Log Rank
Doctorate degree,LGL,67, Private Employee,24,Married,2205,US,25,Female,White,New York,60000,11.00209984,1409,7.250635512
Bachelor's degree,LGL,39, Private Employee,21,Married,2810,non US,56,Female,non White,Florida,75000,11.22524339,1002,6.909753282
Associate's degree,LGL,42, Private Employee,20,Married,3255,non US,30,Female,non White,California,80000,11.28978191,893,6.794586581
post-high-school,LGL,27, Private Employee,19,One of Single,5240,US,40,Female,non White,New Jersey,38000,10.54534144,2526,7.834392303
high-school,MGR,64,Self-Employed,16,Married,205,US,60,Male,White,Illinois,123000,11.71993963,401,5.993961427
high-school,MGR,59, Private Employee,16,Married,140,US,40,Male,White,Ohio,67000,11.1124479,1226,7.111512116
Bachelor's degree,LGL,66, Private Employee,21,Married,2700,US,25,Male,White,Pennsylvania,60750,11.01452236,1399,7.243512975
Bachelor's degree,LGL,29, Private Employee,21,One of Single,4920,non US,40,Male,White,New York,50000,10.81977828,1785,7.487173694
no diploma,LGL,55, Private Employee,9,Married,4710,non US,45,Male,White,Illinois,35000,10.46310334,2685,7.895436007
high-school,LGL,47, Private Employee,16,Married,5740,US,30,Female,White,Colorado,13000,9.472704636,4106,8.320204598
Bachelor's degree,MGR,42, Private Employee,21,Separated,52,US,40,Female,White,South Dakota,90000,11.40756495,740,6.606650186
post-high-school,BUS,61, Private Employee,19,Married,630,US,40,Female,White,California,150000,11.91839057,275,5.616771098
post-high-school,LGL,52, Private Employee,19,Married,5510,US,50,Male,White,Illinois,85000,11.35040654,811,6.698268054
high-school,LGL,54,Government Employee,16,One of Single,5740,US,38,Female,White,Louisiana,42020,10.64590097,2256,7.721348613
high-school,LGL,27, Private Employee,16,One of Single,5100,US,45,Female,White,Ohio,46000,10.73639668,2057,7.62900389
Master's degree,MGR,63, Private Employee,22,Married,136,US,40,Male,White,California,205000,12.23076526,157,5.056245805
Associate's degree,LGL,62, Private Employee,20,Married,9240,US,50,Female,White,West Virginia,28000,10.23995979,3129,8.048468744
post-high-school,CMM,20, Private Employee,19,One of Single,1021,US,45,Female,non White,Massachusetts,29400,10.28874995,3076,8.031385331
post-high-school,LGL,23, Private Employee,19,One of Single,4110,US,15,Female,non White,California,30100,10.31228045,2945,7.987864096
no diploma,LGL,28, Private Employee,15,Married,9645,US,42,Male,non White,North Carolina,28000,10.23995979,3129,8.048468744
Associate's degree,LGL,47, Private Employee,20,Married,4700,US,40,Female,White,Indiana,23400,10.0604913,3486,8.156510226
no diploma,LGL,25, Private Employee,1,One of Single,9130,non US,50,Male,non White,California,27000,10.20359214,3189,8.067462667
Associate's degree,LGL,32, Private Employee,20,One of Single,3645,US,40,Female,White,Indiana,35400,10.4744671,2682,7.894318064
high-school,LGL,94,Government Employee,16,Widowed,5940,US,25,Female,White,New Jersey,23600,10.06900199,3480,8.154787573
no diploma,LGL,52,Government Employee,13,Married,9122,US,4,Female,White,Alabama,11000,9.305650552,4236,8.351374707
post-high-school,LGL,55,Self-Employed,19,Married,6200,non US,60,Male,non White,Arizona,35000,10.46310334,2685,7.895436007
Bachelor's degree,CMM,25, Private Employee,21,One of Single,1050,US,40,Male,non White,Texas,93200,11.442503,719,6.577861358
Bachelor's degree,MGR,61, Private Employee,21,Married,10,US,60,Male,White,California,290000,12.5776362,91,4.510859507
high-school,LGL,37, Private Employee,17,Divorced,5240,US,40,Female,White,California,34400,10.44581184,2785,7.932003152
high-school,LGL,65, Private Employee,16,Married,4720,US,30,Female,White,Louisiana,24300,10.09823163,3402,8.132118773
Bachelor's degree,CMM,65, Private Employee,21,Married,1010,US,40,Male,White,New Jersey,85270,11.35357797,809,6.695798917
high-school,LGL,62, Private Employee,16,Married,4720,US,36,Female,White,Michigan,23200,10.05190756,3489,8.157370441
Bachelor's degree,LGL,40, Private Employee,21,One of Single,2300,non US,40,Female,non White,California,46000,10.73639668,2057,7.62900389
no diploma,LGL,34, Private Employee,13,One of Single,4251,US,40,Male,White,Iowa,6000,8.699514748,4511,8.414274137
Master's degree,CMS,24, Private Employee,22,One of Single,2002,US,45,Female,White,Illinois,35000,10.46310334,2685,7.895436007
Associate's degree,CMM,35,Government Employee,20,Married,1105,US,40,Male,White,Washington,24000,10.08580911,3408,8.133880888
post-high-school,LGL,26, Private Employee,18,One of Single,4040,US,30,Male,White,Florida,25000,10.1266311,3296,8.100464891
Bachelor's degree,CMM,51, Private Employee,21,Divorced,1200,US,40,Male,White,Indiana,95000,11.46163217,693,6.541029999
no diploma,LGL,63, Private Employee,1,Married,4720,non US,40,Female,White,Florida,16000,9.680344001,3918,8.273336599
Associate's degree,LGL,25, Private Employee,20,One of Single,4020,US,30,Female,non White,Indiana,3400,8.131530711,4708,8.457018468
post-high-school,LGL,56,Self-Employed,18,Divorced,6410,US,20,Male,White,Michigan,19000,9.852194258,3767,8.234034208
Professional degree,LGL,38,Self-Employed,23,One of Single,3090,US,60,Male,non White,California,757000,13.53711853,4,1.386294361
high-school,BUS,42, Private Employee,17,Married,650,US,40,Female,White,Missouri,40900,10.61888534,2331,7.754052639
Bachelor's degree,LGL,44, Private Employee,21,Married,3050,US,42,Female,White,Utah,126000,11.74403719,379,5.937536205
post-high-school,LGL,44,Government Employee,19,Divorced,3710,US,50,Female,White,Oregon,96400,11.47626148,681,6.523562306
post-high-school,LGL,32, Private Employee,19,Separated,9600,US,40,Male,non White,Ohio,13500,9.510444964,4096,8.317766167
post-high-school,LGL,49, Private Employee,18,Married,9121,non US,30,Female,White,Maryland,36000,10.49127422,2625,7.872836175
post-high-school,LGL,44, Private Employee,19,Married,5240,US,40,Female,White,New Jersey,30000,10.30895266,2949,7.989221409
high-school,LGL,38, Private Employee,17,Married,5420,US,40,Female,White,Idaho,34000,10.4341158,2789,7.933438388
Master's degree,LGL,51,Government Employee,22,One of Single,2825,US,40,Male,White,Missouri,54000,10.89673933,1679,7.425953657
Professional degree,LGL,52, Private Employee,23,Married,3090,US,30,Female,White,Washington,120000,11.69524702,415,6.02827852
high-school,LGL,26, Private Employee,16,One of Single,9645,US,40,Female,White,Missouri,25000,10.1266311,3296,8.100464891
Bachelor's degree,MGR,57, Private Employee,21,Married,10,US,45,Male,White,Oregon,435000,12.98310131,46,3.828641396
Master's degree,CMM,48, Private Employee,22,Married,1108,US,55,Male,White,Tennesse,186000,12.13350195,190,5.247024072
Master's degree,FIN,27, Private Employee,22,One of Single,940,US,45,Female,White,Washington,65000,11.08214255,1263,7.141245122
Bachelor's degree,LGL,53,Self-Employed,21,Married,4700,US,40,Female,White,Virginia,30000,10.30895266,2949,7.989221409
post-high-school,MGR,40, Private Employee,19,Divorced,310,US,50,Female,White,Rhode Island,18500,9.825526011,3796,8.24170316
Bachelor's degree,LGL,33,Self-Employed,21,Married,4621,US,28,Female,White,Oregon,130000,11.77528973,358,5.880532986
Professional degree,LGL,36,Government Employee,23,Married,9830,US,40,Male,non White,Maryland,147000,11.89818787,309,5.733341277
Master's degree,LGL,51, Private Employee,22,Married,5740,US,40,Female,White,Washington,38500,10.55841352,2518,7.831220215
Associate's degree,LGL,53, Private Employee,20,Married,5120,US,28,Female,White,Oregon,23100,10.0475879,3494,8.158802491
Master's degree,LGL,54, Private Employee,22,One of Single,2640,US,40,Female,non White,California,75000,11.22524339,1002,6.909753282
Master's degree,LGL,53, Private Employee,22,Married,2555,US,40,Female,White,California,14200,9.560997244,4059,8.308691917
post-high-school,LGL,51, Private Employee,18,One of Single,7700,US,40,Female,non White,California,27600,10.22557105,3178,8.064007347
Bachelor's degree,LGL,24, Private Employee,21,One of Single,9645,US,35,Male,White,California,6000,8.699514748,4511,8.414274137
Bachelor's degree,MGR,52,Government Employee,21,Married,120,US,40,Male,White,Florida,90000,11.40756495,740,6.606650186
post-high-school,LGL,49, Private Employee,18,Divorced,3602,US,20,Female,non White,Louisiana,8000,8.987196821,4405,8.390495538
high-school,LGL,23, Private Employee,16,One of Single,9600,US,40,Male,White,New York,26000,10.16585182,3241,8.083637203
post-high-school,LGL,55,Self-Employed,19,Married,9130,US,65,Male,White,New York,98000,11.49272276,655,6.484635236
Master's degree,MGR,47, Private Employee,22,Married,110,non US,50,Male,White,California,597000,13.29967239,6,1.791759469
high-school,LGL,50,Government Employee,16,One of Single,3802,US,40,Male,non White,Florida,45000,10.71441777,2100,7.649692624
Bachelor's degree,BUS,58,Government Employee,21,Divorced,750,US,40,Female,White,Pennsylvania,20010,9.903987428,3650,8.202482447
Bachelor's degree,LGL,28, Private Employee,21,Married,4621,US,40,Female,non White,New York,5000,8.517193191,4584,8.430327258
Associate's degree,LGL,62, Private Employee,20,Married,3220,US,38,Male,White,Kentucky,63000,11.05089001,1341,7.201170883
Master's degree,LGL,48, Private Employee,22,Married,2350,non US,14,Female,White,Maryland,2000,7.60090246,4811,8.478660242
Master's degree,BUS,42, Private Employee,22,One of Single,710,non US,40,Male,non White,Texas,248300,12.42239297,119,4.779123493
Master's degree,SCI,29, Private Employee,22,One of Single,1760,non US,40,Male,non White,California,150000,11.91839057,275,5.616771098
Master's degree,LGL,42,Government Employee,22,Married,2310,US,50,Female,non White,California,63000,11.05089001,1341,7.201170883
high-school,LGL,69, Private Employee,16,Divorced,3655,US,40,Female,non White,Georgia,68300,11.13166505,1209,7.097548851
Associate's degree,LGL,33, Private Employee,20,Divorced,8990,US,40,Male,White,Florida,14000,9.546812609,4064,8.309922989
high-school,LGL,32, Private Employee,16,One of Single,9600,US,40,Male,non White,Louisiana,62000,11.03488966,1356,7.212294469
Associate's degree,LGL,56,Government Employee,20,Married,8620,US,50,Male,White,Massachusetts,48500,10.78931908,1964,7.582738489
high-school,LGL,56, Private Employee,16,Widowed,8225,US,40,Female,White,Tennesse,25000,10.1266311,3296,8.100464891
post-high-school,CMM,31, Private Employee,19,Married,1021,US,40,Male,non White,California,140000,11.8493977,324,5.780743516
post-high-school,BUS,67, Private Employee,18,Married,600,US,30,Male,White,California,49600,10.81174611,1928,7.564238475
Bachelor's degree,LGL,34,Government Employee,21,Married,2310,US,35,Male,White,Michigan,43000,10.66895539,2221,7.705712824
Bachelor's degree,BUS,28, Private Employee,21,Married,705,US,60,Male,White,California,150000,11.91839057,275,5.616771098
Master's degree,FIN,45, Private Employee,22,One of Single,940,non US,40,Female,White,New Jersey,215500,12.28071619,146,4.983606622
Associate's degree,LGL,32, Private Employee,20,Married,3255,non US,56,Female,non White,Washington,35000,10.46310334,2685,7.895436007
high-school,LGL,40, Private Employee,17,Married,4220,US,40,Male,White,Florida,37000,10.51867319,2596,7.861727078
Bachelor's degree,BUS,33, Private Employee,21,Married,710,US,45,Male,White,Massachusetts,125000,11.73606902,386,5.955837369
high-school,LGL,30, Private Employee,16,Married,5740,non US,35,Female,White,Virginia,25000,10.1266311,3296,8.100464891
Master's degree,ENG,58,Government Employee,22,Married,1530,US,40,Male,White,Maryland,149070,11.91217127,305,5.720311777
high-school,LGL,76,Government Employee,17,Married,5540,US,24,Male,White,Kentucky,34800,10.45737267,2780,7.930206207
no diploma,LGL,38, Private Employee,11,One of Single,6260,non US,40,Male,non White,Illinois,72000,11.1844214,1092,6.995766156
post-high-school,LGL,63,Self-Employed,18,Married,5810,US,10,Female,White,Missouri,15300,9.635608107,3959,8.283746747
no diploma,LGL,55, Private Employee,10,Divorced,7210,US,50,Male,White,Massachusetts,57000,10.95080655,1564,7.355001921
post-high-school,LGL,23, Private Employee,18,Married,4750,US,45,Male,White,Indiana,46000,10.73639668,2057,7.62900389
high-school,MGR,64,Self-Employed,16,Married,440,non US,30,Male,non White,California,70000,11.15625052,1135,7.03438793
post-high-school,LGL,24,Self-Employed,19,Divorced,3602,non US,40,Female,non White,Connecticut,52000,10.858999,1718,7.448916103
Associate's degree,LGL,47, Private Employee,20,Divorced,4010,US,40,Female,White,South Dakota,25000,10.1266311,3296,8.100464891
high-school,LGL,26, Private Employee,16,Married,9645,US,40,Female,White,Florida,17000,9.740968623,3877,8.262816938
Bachelor's degree,LGL,23, Private Employee,21,Married,5740,US,30,Female,White,New Jersey,10000,9.210340372,4271,8.359603271
high-school,MGR,68, Private Employee,16,Married,350,US,22,Female,White,Delaware,26100,10.16969059,3240,8.083328609
Bachelor's degree,LGL,61, Private Employee,21,Married,5510,US,25,Male,White,New York,16000,9.680344001,3918,8.273336599
high-school,LGL,70, Private Employee,16,Married,4700,US,15,Female,White,Missouri,28800,10.26813067,3112,8.043020885
post-high-school,LGL,39, Private Employee,19,Divorced,5120,US,40,Female,White,Wisconsin,55500,10.9241383,1624,7.392647521
no diploma,LGL,55, Private Employee,14,Separated,6230,US,45,Male,White,Massachusetts,50000,10.81977828,1785,7.487173694
post-high-school,LGL,26, Private Employee,19,Married,4810,US,41,Female,White,Kansas,36000,10.49127422,2625,7.872836175
post-high-school,BUS,46, Private Employee,19,Married,710,non US,50,Female,non White,Washington,69000,11.14186178,1201,7.090909822
Bachelor's degree,MGR,46, Private Employee,21,Married,440,US,70,Male,White,Florida,85400,11.35510138,808,6.694562059
post-high-school,LGL,45, Private Employee,19,Divorced,7340,US,40,Male,White,Colorado,78000,11.26446411,952,6.858565035
Bachelor's degree,LGL,29,Self-Employed,21,Married,4700,US,50,Male,White,Alabama,60000,11.00209984,1409,7.250635512
Professional degree,MGR,61, Private Employee,23,Married,120,US,60,Male,White,Virginia,347000,12.75708006,76,4.33073334
Associate's degree,LGL,38, Private Employee,20,Married,6442,US,40,Male,White,Wisconsin,45000,10.71441777,2100,7.649692624
post-high-school,LGL,18,Government Employee,18,One of Single,4621,US,15,Male,White,West Virginia,3000,8.006367568,4724,8.460411177
post-high-school,LGL,19, Private Employee,19,One of Single,4020,US,32,Female,White,Illinois,1000,6.907755279,4910,8.499029221
high-school,MGR,46,Self-Employed,16,One of Single,205,US,45,Male,non White,New Mexico,10000,9.210340372,4271,8.359603271
no diploma,MGR,27, Private Employee,13,One of Single,440,US,35,Female,non White,Ohio,45000,10.71441777,2100,7.649692624
post-high-school,LGL,19, Private Employee,18,One of Single,4220,US,45,Female,non White,Texas,22000,9.998797732,3538,8.171316875
post-high-school,LGL,32, Private Employee,18,Married,9620,US,45,Male,White,Iowa,50000,10.81977828,1785,7.487173694
post-high-school,LGL,38,Self-Employed,19,Divorced,4251,US,15,Male,White,Virginia,6000,8.699514748,4511,8.414274137
Bachelor's degree,MGR,54, Private Employee,21,Married,110,US,52,Male,non White,Texas,80000,11.28978191,893,6.794586581
post-high-school,LGL,66, Private Employee,18,Married,5000,US,55,Female,White,Indiana,56000,10.93310697,1595,7.374629015
Bachelor's degree,LGL,37,Self-Employed,21,One of Single,4920,US,60,Male,White,Alabama,461000,13.04115332,35,3.555348061
Associate's degree,CMS,52, Private Employee,20,Married,2040,US,60,Male,White,Mississippi,45000,10.71441777,2100,7.649692624
post-high-school,LGL,66,Government Employee,19,Married,2310,US,40,Female,White,Texas,27000,10.20359214,3189,8.067462667
high-school,LGL,59, Private Employee,16,Divorced,8320,US,40,Male,non White,North Carolina,25000,10.1266311,3296,8.100464891
Master's degree,FIN,65,Government Employee,22,Married,800,US,40,Male,non White,California,131050,11.78333421,357,5.877735782
Master's degree,LGL,57,Government Employee,22,One of Single,2310,US,40,Female,White,New York,103450,11.54684368,570,6.345636361
high-school,LGL,21, Private Employee,16,One of Single,6230,US,40,Male,non White,Arizona,1300,7.170119543,4898,8.496582238
high-school,LGL,55, Private Employee,17,Divorced,4230,US,40,Female,White,Arkansas,12000,9.392661929,4149,8.33062262
high-school,LGL,34,Government Employee,17,One of Single,8740,US,7,Male,White,Minnesota,2600,7.863266724,4778,8.471777328
post-high-school,LGL,25, Private Employee,18,One of Single,5740,US,38,Male,White,Arizona,8500,9.047821442,4391,8.387312271
high-school,LGL,68, Private Employee,16,Married,4020,US,20,Female,White,Ohio,18000,9.798127037,3810,8.245384468
Bachelor's degree,MGR,38, Private Employee,21,One of Single,51,US,40,Female,White,South Carolina,40400,10.60658506,2344,7.759614151
Bachelor's degree,LGL,56,Government Employee,21,Married,5540,US,40,Female,non White,Hawaii,70000,11.15625052,1135,7.03438793
no diploma,LGL,17,Self-Employed,14,One of Single,4600,US,15,Female,White,New Jersey,6800,8.824677891,4485,8.408493774
Associate's degree,LGL,22, Private Employee,20,Married,7700,US,40,Male,White,Kentucky,23000,10.04324949,3498,8.159946656
Bachelor's degree,LGL,59,Government Employee,21,Married,2310,US,40,Female,White,Iowa,58050,10.96905999,1529,7.332369206
Master's degree,MGR,39,Government Employee,22,Married,230,US,70,Male,White,Massachusetts,98000,11.49272276,655,6.484635236
high-school,LGL,30, Private Employee,17,One of Single,4400,US,30,Male,White,Washington,59000,10.98529272,1517,7.324489979
high-school,LGL,33, Private Employee,16,One of Single,9620,US,16,Female,non White,California,11000,9.305650552,4236,8.351374707
post-high-school,LGL,24, Private Employee,19,Married,3500,US,36,Female,White,Oregon,35000,10.46310334,2685,7.895436007
high-school,MGR,44,Self-Employed,16,One of Single,220,US,40,Male,White,New York,45000,10.71441777,2100,7.649692624
no diploma,LGL,18, Private Employee,14,One of Single,4030,US,20,Male,non White,Florida,9000,9.104979856,4365,8.381373468
Master's degree,LGL,46,Government Employee,22,Married,2850,US,50,Male,White,Virginia,130000,11.77528973,358,5.880532986
high-school,LGL,56, Private Employee,16,Married,4220,US,9,Male,non White,Florida,600,6.396929655,4956,8.508354243
Bachelor's degree,BUS,29, Private Employee,21,Married,705,US,40,Female,White,Minnesota,50000,10.81977828,1785,7.487173694
Bachelor's degree,LGL,52,Self-Employed,21,Married,4800,US,40,Female,White,Georgia,48000,10.77895629,1970,7.585788822
Doctorate degree,CMM,48, Private Employee,24,Married,1021,US,40,Male,White,Virginia,175000,12.07254125,215,5.370638028
Master's degree,MGR,63,Self-Employed,22,Married,440,US,60,Male,White,New Jersey,60000,11.00209984,1409,7.250635512
Bachelor's degree,BUS,38, Private Employee,21,Married,710,US,50,Male,White,Texas,155000,11.9511804,262,5.568344504
Professional degree,LGL,62, Private Employee,23,Married,3160,non US,24,Female,White,Missouri,36000,10.49127422,2625,7.872836175
no diploma,LGL,32, Private Employee,14,One of Single,4010,US,15,Female,non White,North Carolina,2000,7.60090246,4811,8.478660242
post-high-school,CMM,41, Private Employee,18,Divorced,1006,US,40,Female,White,West Virginia,84760,11.34757901,841,6.73459166
Bachelor's degree,CMM,63,Self-Employed,21,One of Single,1050,non US,40,Male,White,New Jersey,35000,10.46310334,2685,7.895436007
no diploma,LGL,55, Private Employee,5,One of Single,4251,non US,40,Male,non White,Maryland,4500,8.411832676,4643,8.443115988
Associate's degree,LGL,41, Private Employee,20,Married,3255,US,36,Female,White,Kentucky,50000,10.81977828,1785,7.487173694
Bachelor's degree,CMM,29, Private Employee,21,One of Single,1021,US,40,Male,White,Massachusetts,78000,11.26446411,952,6.858565035
high-school,FIN,45, Private Employee,16,One of Single,910,US,40,Female,non White,Nevada,65000,11.08214255,1263,7.141245122
Bachelor's degree,LGL,32, Private Employee,21,Married,4760,US,40,Female,White,New Jersey,34000,10.4341158,2789,7.933438388
high-school,LGL,54, Private Employee,16,Married,8990,US,45,Male,White,Indiana,57000,10.95080655,1564,7.355001921
post-high-school,LGL,20, Private Employee,19,One of Single,4720,US,28,Male,White,Texas,2000,7.60090246,4811,8.478660242
post-high-school,LGL,36, Private Employee,18,Married,9645,non US,40,Male,White,Nevada,23150,10.04975006,3493,8.158516245
post-high-school,LGL,26, Private Employee,18,Married,2640,US,40,Female,White,Indiana,32000,10.37349118,2855,7.956827122
no diploma,LGL,62, Private Employee,11,Separated,3603,non US,16,Male,non White,California,7800,8.961879013,4446,8.399760095
post-high-school,ENG,43, Private Employee,19,Married,1450,non US,40,Male,non White,Texas,35000,10.46310334,2685,7.895436007
high-school,LGL,47,Self-Employed,16,Married,6355,US,72,Male,White,Maine,17400,9.764225485,3872,8.261526448
high-school,LGL,66,Self-Employed,16,Divorced,4920,US,50,Female,White,Washington,362000,12.79939949,72,4.276666119
post-high-school,MGR,62, Private Employee,18,Married,440,US,40,Female,White,Louisiana,72000,11.1844214,1092,6.995766156
post-high-school,LGL,25, Private Employee,19,Married,3930,US,40,Male,White,Tennesse,10000,9.210340372,4271,8.359603271
high-school,LGL,63,Self-Employed,16,Married,9130,US,55,Male,White,Illinois,49300,10.80567936,1933,7.566828479
post-high-school,LGL,39, Private Employee,19,Married,4710,US,50,Male,White,California,65000,11.08214255,1263,7.141245122
Associate's degree,LGL,43, Private Employee,20,One of Single,5120,US,40,Female,White,New York,27000,10.20359214,3189,8.067462667
Bachelor's degree,BUS,28, Private Employee,21,One of Single,705,US,40,Male,non White,California,70000,11.15625052,1135,7.03438793
Associate's degree,LGL,34, Private Employee,20,One of Single,6520,US,40,Male,White,Arizona,43500,10.68051622,2211,7.701200181
Bachelor's degree,LGL,53, Private Employee,21,Divorced,7750,US,40,Female,White,Ohio,16000,9.680344001,3918,8.273336599
Master's degree,MGR,62, Private Employee,22,Married,10,US,45,Male,White,Wisconsin,85000,11.35040654,811,6.698268054
post-high-school,LGL,26,Government Employee,18,One of Single,9825,non US,40,Male,White,Wisconsin,3400,8.131530711,4708,8.457018468
Associate's degree,CMS,35, Private Employee,20,Married,2040,US,4,Male,non White,California,12000,9.392661929,4149,8.33062262
Bachelor's degree,SCI,31, Private Employee,21,One of Single,1970,non US,40,Female,White,Massachusetts,40000,10.59663473,2353,7.763446389
post-high-school,LGL,21, Private Employee,19,One of Single,2205,US,5,Female,White,Louisiana,3000,8.006367568,4724,8.460411177
high-school,LGL,40, Private Employee,16,Married,2634,US,40,Female,White,Pennsylvania,27000,10.20359214,3189,8.067462667
high-school,LGL,52,Government Employee,17,Married,5740,US,40,Female,White,Missouri,32000,10.37349118,2855,7.956827122
Associate's degree,LGL,20, Private Employee,20,One of Single,7210,US,20,Male,White,Nebraska,13000,9.472704636,4106,8.320204598
Bachelor's degree,LGL,27, Private Employee,21,Married,4820,US,60,Male,White,Illinois,30000,10.30895266,2949,7.989221409
post-high-school,LGL,66, Private Employee,19,Married,3945,US,45,Male,White,Georgia,55400,10.92233487,1629,7.395721609
Bachelor's degree,LGL,35,Government Employee,21,One of Single,3710,US,40,Female,non White,Hawaii,43000,10.66895539,2221,7.705712824
high-school,LGL,28, Private Employee,17,One of Single,4020,US,40,Male,White,South Carolina,20000,9.903487553,3651,8.202756382
no diploma,LGL,70, Private Employee,15,Married,7800,US,10,Female,White,Michigan,31800,10.36722157,2898,7.971776123
high-school,LGL,42, Private Employee,16,Divorced,4251,US,10,Male,non White,Virginia,5000,8.517193191,4584,8.430327258
post-high-school,LGL,79,Self-Employed,19,Divorced,4920,US,3,Female,White,Wisconsin,29100,10.27849345,3082,8.033334016
post-high-school,LGL,23, Private Employee,19,One of Single,4020,US,20,Male,White,Oregon,6700,8.809862805,4490,8.409607981
post-high-school,LGL,41, Private Employee,18,Married,9610,US,40,Female,non White,Arizona,36000,10.49127422,2625,7.872836175
no diploma,MGR,28, Private Employee,13,Married,440,US,40,Female,White,Iowa,14000,9.546812609,4064,8.309922989
high-school,LGL,39,Government Employee,16,Married,5220,non US,40,Female,White,Texas,36000,10.49127422,2625,7.872836175
Associate's degree,MGR,54,Self-Employed,20,Married,20,non US,50,Male,White,Indiana,290000,12.5776362,91,4.510859507
post-high-school,BUS,59, Private Employee,19,Married,530,US,89,Male,non White,California,77000,11.2515607,979,6.886531643
high-school,LGL,49, Private Employee,16,Married,7855,US,35,Female,White,Texas,14000,9.546812609,4064,8.309922989
Bachelor's degree,CMM,28, Private Employee,21,Married,1021,non US,40,Male,non White,Washington,28000,10.23995979,3129,8.048468744
high-school,LGL,37, Private Employee,16,Married,4220,non US,40,Male,non White,New Jersey,15000,9.61580548,3962,8.284504227
Master's degree,BUS,31, Private Employee,22,Married,630,non US,40,Male,non White,Florida,50000,10.81977828,1785,7.487173694
Associate's degree,LGL,34, Private Employee,20,One of Single,5510,non US,37,Male,non White,North Carolina,25000,10.1266311,3296,8.100464891
Bachelor's degree,LGL,37, Private Employee,21,Married,4010,US,40,Female,non White,California,15900,9.674074388,3946,8.280457687
Master's degree,FIN,41, Private Employee,22,Married,800,non US,40,Male,non White,California,60000,11.00209984,1409,7.250635512
Bachelor's degree,MGR,55, Private Employee,21,Married,220,US,55,Male,White,Maryland,200000,12.20607265,163,5.093750201
post-high-school,LGL,33, Private Employee,18,Married,8850,non US,40,Male,White,Texas,32000,10.37349118,2855,7.956827122
high-school,LGL,59,Government Employee,16,One of Single,4220,US,40,Male,White,New Jersey,79000,11.27720313,941,6.84694314
post-high-school,LGL,21, Private Employee,19,One of Single,2300,US,20,Female,White,New York,7000,8.853665428,4465,8.404024493
Master's degree,LGL,42, Private Employee,22,Married,9760,US,40,Male,White,Idaho,45000,10.71441777,2100,7.649692624
high-school,LGL,59,Government Employee,16,Divorced,2545,US,35,Female,White,Iowa,18000,9.798127037,3810,8.245384468
Master's degree,LGL,90, Private Employee,22,Divorced,2752,US,3,Male,White,Michigan,65470,11.0893473,1257,7.136483209
post-high-school,LGL,19, Private Employee,19,One of Single,4720,US,21,Female,non White,California,12000,9.392661929,4149,8.33062262
Bachelor's degree,LGL,34, Private Employee,21,Married,4600,US,40,Male,White,Massachusetts,35000,10.46310334,2685,7.895436007
post-high-school,LGL,21, Private Employee,19,One of Single,2205,US,15,Male,White,Utah,8000,8.987196821,4405,8.390495538
post-high-school,MGR,22, Private Employee,19,One of Single,420,US,40,Female,White,California,30000,10.30895266,2949,7.989221409
high-school,LGL,22, Private Employee,16,One of Single,9645,US,40,Female,non White,Georgia,9200,9.126958763,4355,8.379079889
no diploma,MGR,55, Private Employee,14,Widowed,20,US,60,Male,White,Florida,18900,9.846917201,3787,8.239329428
Professional degree,LGL,37, Private Employee,23,Married,7750,US,45,Male,White,Wyoming,33000,10.40426284,2825,7.946263644
post-high-school,LGL,33, Private Employee,19,One of Single,5000,US,40,Male,White,Nevada,35000,10.46310334,2685,7.895436007
Master's degree,CMS,55,No Pay,22,Married,2002,US,40,Female,White,Idaho,38530,10.55919244,2517,7.830822995
Bachelor's degree,CMS,27, Private Employee,21,Married,2006,US,35,Female,White,Colorado,40000,10.59663473,2353,7.763446389
post-high-school,CMM,20, Private Employee,19,One of Single,1108,US,40,Male,non White,Virginia,2600,7.863266724,4778,8.471777328
post-high-school,LGL,39, Private Employee,19,One of Single,5740,US,40,Female,non White,Louisiana,32000,10.37349118,2855,7.956827122
Master's degree,LGL,38,Government Employee,22,Separated,2310,US,40,Female,White,Illinois,73800,11.20911401,1071,6.97634807
Master's degree,CMM,45, Private Employee,22,Married,1240,non US,40,Male,White,Florida,130000,11.77528973,358,5.880532986
post-high-school,ENG,46, Private Employee,19,One of Single,1555,US,42,Male,White,Oregon,102000,11.53272809,575,6.354370041
Bachelor's degree,LGL,59,Government Employee,21,Married,2320,US,40,Male,non White,Virginia,106100,11.57213732,541,6.293419279
post-high-school,LGL,49, Private Employee,19,Married,5120,US,47,Female,White,Pennsylvania,36000,10.49127422,2625,7.872836175
high-school,LGL,18, Private Employee,16,One of Single,2330,US,15,Female,White,Kentucky,7000,8.853665428,4465,8.404024493
Professional degree,LGL,41, Private Employee,23,Married,3255,US,40,Female,White,Texas,90000,11.40756495,740,6.606650186
Bachelor's degree,CMM,32, Private Employee,21,One of Single,1006,US,60,Male,White,Florida,68000,11.12726298,1211,7.099201744
high-school,MGR,47, Private Employee,16,Married,150,US,40,Female,White,California,55000,10.91508846,1632,7.397561536
Associate's degree,LGL,48, Private Employee,20,Married,4850,US,48,Male,White,Connecticut,70000,11.15625052,1135,7.03438793
Professional degree,LGL,43, Private Employee,23,Married,3310,non US,32,Female,non White,Florida,70000,11.15625052,1135,7.03438793
